[2026-08-06T10:33:34.315Z] INFO HTTP | http_request | 127.0.0.1:43914 | GET /admin
[2026-08-06T10:33:34.368Z] HIGH HTTP | http_request | 127.0.0.1:43916 | GET /.env
[2026-08-06T10:33:34.418Z] HIGH HTTP | sensitive_file_access | 127.0.0.1:43916 | Accessed /.env
[2026-08-06T10:33:34.451Z] INFO HTTP | http_request | 127.0.0.1:43924 | GET /wp-login.php
[2026-08-06T10:33:34.486Z] INFO HTTP | http_request | 127.0.0.1:43934 | GET /etc/passwd
[2026-08-06T10:33:34.506Z] HIGH HTTP | path_traversal | 127.0.0.1:43934 | path_traversal in GET /etc/passwd
[2026-08-06T10:33:34.527Z] INFO HTTP | http_request | 127.0.0.1:43938 | GET /api/v1/users
[2026-08-06T10:33:34.546Z] MEDIUM HTTP | api_enumeration | 127.0.0.1:43938 | Accessed /api/v1/users
[2026-08-06T10:33:34.579Z] INFO HTTP | http_request | 127.0.0.1:43940 | GET /robots.txt
[2026-08-06T10:33:34.608Z] HIGH HTTP | http_request | 127.0.0.1:43950 | GET /.git/config
[2026-08-06T10:33:34.628Z] HIGH HTTP | sensitive_file_access | 127.0.0.1:43950 | Accessed /.git/config
[2026-08-06T10:33:34.652Z] INFO HTTP | http_request | 127.0.0.1:43964 | POST /login
[2026-08-06T10:33:34.672Z] HIGH HTTP | credential_capture | 127.0.0.1:43964 | user=admin pass=admin123 page=/login
[2026-08-06T10:33:34.695Z] INFO HTTP | http_request | 127.0.0.1:43980 | POST /wp-login.php
[2026-08-06T10:33:34.712Z] HIGH HTTP | credential_capture | 127.0.0.1:43980 | user=admin pass=P@ssw0rd page=/wp-login.php
[2026-08-06T10:33:34.736Z] INFO HTTP | http_request | 127.0.0.1:43988 | POST /phpmyadmin
[2026-08-06T10:33:34.753Z] HIGH HTTP | credential_capture | 127.0.0.1:43988 | user=root pass=toor page=/phpmyadmin
[2026-08-06T10:33:34.779Z] HIGH SSH | login_attempt | 127.0.0.1:39566 | user=root pass=password123
[2026-08-06T10:33:39.087Z] HIGH FTP | credential_capture | 127.0.0.1:40504 | user=admin pass=admin123
[2026-08-06T10:33:39.693Z] HIGH FTP | credential_capture | 127.0.0.1:40504 | user=root pass=toor
[2026-08-06T10:33:40.298Z] HIGH FTP | credential_capture | 127.0.0.1:40504 | user=test pass=test123
[2026-08-06T10:33:40.602Z] MEDIUM FTP | directory_traversal | 127.0.0.1:40504 | CWD /etc
[2026-08-06T10:33:40.905Z] HIGH FTP | file_download | 127.0.0.1:40504 | RETR /etc/passwd
[2026-08-06T10:33:41.515Z] HIGH TELNET | credential_capture | 127.0.0.1:33476 | user=admin pass=admin
[2026-08-06T10:33:42.119Z] HIGH TELNET | credential_capture | 127.0.0.1:33476 | user=root pass=root
[2026-08-06T10:33:42.726Z] HIGH TELNET | credential_capture | 127.0.0.1:33476 | user=test pass=test123
[2026-08-06T10:33:43.229Z] MEDIUM TELNET | command_execution | 127.0.0.1:33476 | cmd: whoami
[2026-08-06T10:33:43.533Z] MEDIUM TELNET | command_execution | 127.0.0.1:33476 | cmd: cat /etc/passwd
[2026-08-06T10:33:43.836Z] MEDIUM TELNET | command_execution | 127.0.0.1:33476 | cmd: id
